Besoldungsgruppe,Amtsbezeichnung,Zusatz
A14,Pfarrerin/Pfarrer,Millitär-
A15,Dekanin/Dekan,Millitär-
A15,Direktorin/Direktor,Archiv-
A15,Direktorin/Direktor,bei der Bundesagentur für Arbeit
A15,Direktorin/Direktor,Bibliotheks-
A15,Direktorin/Direktor,Brand-
A15,Direktorin/Direktor,Bundesbahn-
A15,Direktorin/Direktor,Bundesfernstraßen-
A15,Direktorin/Direktor,Forst-
A15,Direktorin/Direktor,Kriminal-
A15,Direktorin/Direktor,Medizinal-
A15,Direktorin/Direktor,Medizinal-... in der Bundespolizei
A15,Direktorin/Direktor,Polizei-
A15,Direktorin/Direktor,Post-
A15,Direktorin/Direktor,Regierungs-
A15,Direktorin/Direktor,Technische Bundesfernstraßen-/Technischer Bundesfernstraßen-
A15,Direktorin/Direktor,Technische Regierungs-/Technischer Regierungs-
A15,Direktorin/Direktor,Wissenschaftliche/Wissenschaftlicher
A16,Direktorin/Direktor,der Bundesstelle für Eisenbahnunfalluntersuchung
A16,Direktorin/Direktor,der Bundesstelle für Flugunfalluntersuchung
A16,Direktorin/Direktor,der Bundesstelle für Seeunfalluntersuchung
A16,Direktorin/Direktor,des Geheimen Staatsarchivs der Stiftung Preußischer Kulturbesitz
A16,Direktorin/Direktor,des Ibero-Amerikanischen Instituts der Stiftung Preußischer Kulturbesitz
A16,Direktorin/Direktor,des Staatlichen Instituts für Musikforschung der Stiftung Preußischer Kulturbesitz
A16,Direktorin/Direktor,einer Wehrtechnischen Dienststelle
A16,Leitende Dekanin/Leitender Dekan,Millitär-
A16,Leitende Direktorin/Leitender Direktor,Archiv-
A16,Leitende Direktorin/Leitender Direktor,bei der Bundesagentur für Arbeit
A16,Leitende Direktorin/Leitender Direktor,Bibliotheks-
A16,Leitende Direktorin/Leitender Direktor,Brand-
A16,Leitende Direktorin/Leitender Direktor,Bundesbahn-
A16,Leitende Direktorin/Leitender Direktor,Bundesfernstraßen-
A16,Leitende Direktorin/Leitender Direktor,Forst-
A16,Leitende Direktorin/Leitender Direktor,Kriminal-
A16,Leitende Direktorin/Leitender Direktor,Medizinal-
